UID,Avg Clicks,Count
Linux-Chrome-7717112348434898,26.166666666666668,12
OS_X-Chrome-04300951770330119,62.0,1
OS_X-Chrome-058277822587534445,113.0,1
OS_X-Chrome-07385486060082114,31.727272727272727,11
OS_X-Chrome-1261461829219961,99.0,1
OS_X-Chrome-1282947892185351,35.0,16
OS_X-Chrome-13710021684676033,39.2,5
OS_X-Chrome-22964104821593745,26.0,1
OS_X-Chrome-2373976843506258,46.2,5
OS_X-Chrome-32718434860304346,31.0,5
OS_X-Chrome-33082597945337944,48.0,8
OS_X-Chrome-35745151420017174,26.375,8
OS_X-Chrome-363173126518447,51.8,5
OS_X-Chrome-41090545356424224,39.666666666666664,6
OS_X-Chrome-42495168729149513,44.6,5
OS_X-Chrome-44435945490788087,28.833333333333332,6
OS_X-Chrome-4738323796842199,48.8,5
OS_X-Chrome-5643976431722342,29.0,1
OS_X-Chrome-6171567788239496,37.0,5
OS_X-Chrome-7007492837106291,27.310344827586206,29
OS_X-Chrome-768154665430073,56.0,3
OS_X-Chrome-8411932027203135,28.125,16
OS_X-Chrome-8491089189936403,28.8,5
OS_X-Chrome-8615909288350414,33.06666666666667,15
OS_X-Chrome-8661547468727495,25.4,5
OS_X-Chrome-8832673092563947,41.333333333333336,6
OS_X-Chrome-9218607129007144,44.8,5
OS_X-Chrome-9471149510090968,28.2,5
OS_X-Chrome-9659052573192306,49.6,5
OS_X-Chrome-9973352428575182,47.5,6
OS_X-Safari-07471498705208524,31.0,1
OS_X-Safari-17563084822747788,30.4,5
OS_X-Safari-18271425093070304,31.0,1
OS_X-Safari-6276075877239048,54.0,1
OS_X-Safari-854416282704363,40.0,5
Windows-Chrome-08735846615036214,26.4,5
Windows-Chrome-09071875081957037,97.5,2
Windows-Chrome-19153982375759515,84.0,1
Windows-Chrome-23613930210227196,26.8,5
Windows-Chrome-5800602595198927,31.0,1
Windows-Chrome-5966338352265228,41.5,6
Windows-Chrome-6052234137011423,69.75,4
Windows-Chrome-6495133328614542,33.0,5
Windows-Chrome-6590108802965178,37.0,1
Windows-Chrome-8488882643259557,40.25,4
Windows-Chrome-9383710639325211,31.0,1
Windows-Chrome-989509010644305,29.833333333333332,6
Windows-Firefox-0493178011969555,221.0,1
Windows-Firefox-0838658060845825,58.333333333333336,9
