UID,Avg Times,Count
Linux-Chrome-7717112348434898,56739.333333333336,12
OS_X-Chrome-04300951770330119,95802.0,1
OS_X-Chrome-058277822587534445,626383.0,1
OS_X-Chrome-07385486060082114,111463244.45454545,11
OS_X-Chrome-1261461829219961,184246.0,1
OS_X-Chrome-1282947892185351,28385582.75,16
OS_X-Chrome-13710021684676033,120447.2,5
OS_X-Chrome-22964104821593745,48835.0,1
OS_X-Chrome-2373976843506258,142553.6,5
OS_X-Chrome-32718434860304346,14080241.2,5
OS_X-Chrome-33082597945337944,218664636.25,8
OS_X-Chrome-35745151420017174,37333.375,8
OS_X-Chrome-363173126518447,107150.6,5
OS_X-Chrome-41090545356424224,220219.5,6
OS_X-Chrome-42495168729149513,72647.0,5
OS_X-Chrome-44435945490788087,161460.16666666666,6
OS_X-Chrome-4738323796842199,132074.8,5
OS_X-Chrome-5643976431722342,589375.0,1
OS_X-Chrome-6171567788239496,645216.2,5
OS_X-Chrome-7007492837106291,52337697.862068966,29
OS_X-Chrome-768154665430073,944952.3333333334,3
OS_X-Chrome-8411932027203135,43636.875,16
OS_X-Chrome-8491089189936403,59542.8,5
OS_X-Chrome-8615909288350414,59121.666666666664,15
OS_X-Chrome-8661547468727495,39086.6,5
OS_X-Chrome-8832673092563947,124230.5,6
OS_X-Chrome-9218607129007144,61698.4,5
OS_X-Chrome-9471149510090968,317186281.8,5
OS_X-Chrome-9659052573192306,143499.0,5
OS_X-Chrome-9973352428575182,109078.0,6
OS_X-Safari-07471498705208524,68884.0,1
OS_X-Safari-17563084822747788,51822.6,5
OS_X-Safari-18271425093070304,54656.0,1
OS_X-Safari-6276075877239048,69106.0,1
OS_X-Safari-854416282704363,61177.6,5
Windows-Chrome-08735846615036214,30000.0,5
Windows-Chrome-09071875081957037,430117411.5,2
Windows-Chrome-19153982375759515,119955.0,1
Windows-Chrome-23613930210227196,40683.0,5
Windows-Chrome-5800602595198927,70812.0,1
Windows-Chrome-5966338352265228,142735475.83333334,6
Windows-Chrome-6052234137011423,242359746.5,4
Windows-Chrome-6495133328614542,47913.4,5
Windows-Chrome-6590108802965178,76314.0,1
Windows-Chrome-8488882643259557,96878.75,4
Windows-Chrome-9383710639325211,54737.0,1
Windows-Chrome-989509010644305,319225.1666666667,6
Windows-Firefox-0493178011969555,701807810.0,1
Windows-Firefox-0838658060845825,241208930.55555555,9
